ItemCode,NumeroDescripcionesOriginales,NumeroDescripcionesNormalizadas,DescripcionMasFrecuente,PorcentajeCorrespondencia,PrimeraFecha,UltimaFecha,CategoriasAsociadas,ClasificacionCorrespondencia
301100,1,1,"EMPAQUE DE TEFLON DE 1/8 """,100.0,2024-09-09 00:00:00,2024-09-09 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
301105,1,1,"EMPAQUE MERGOLLAR RAMIO-TEFLON 1/2""",100.0,2024-03-21 00:00:00,2024-03-21 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
301115,1,1,"EMPAQUE CAUCHO CON ALMA DE NYON 1/8 """,100.0,2024-04-09 00:00:00,2025-08-01 00:00:00,"FERRETERIA, REPUESTOS MECANICOS",Correspondencia univoca
301118,1,1,"EMPAQUE CAUCHO Y LONA 1/8 """,100.0,2024-04-15 00:00:00,2025-08-01 00:00:00,"FERRETERIA, REPUESTOS MECANICOS",Correspondencia univoca
301122,1,1,DILUYENTE LACA GLNS,100.0,2024-04-08 00:00:00,2025-10-01 00:00:00,"FERRETERIA, FILTROS, MATERIALES DE LIMPIEZA, PINTURAS, REPUESTOS ELECTRICOS, SERVICIOS DE MANTENIMIENTO",Correspondencia univoca
301126,1,1,"DISCO P/CORTE 4 1/2 "" X 1/16""",100.0,2024-07-15 00:00:00,2025-12-01 00:00:00,FERRETERIA,Correspondencia univoca
301127,1,1,"DISCO P/CORTE 4 1/2 ""X1/8 "" 112X3MM",100.0,2025-03-01 00:00:00,2025-03-01 00:00:00,FERRETERIA,Correspondencia univoca
301128,1,1,"DISCO P/CORTE 4 1/2 ""X7/8 "" AZUL 115X3MM",100.0,2024-04-15 00:00:00,2025-10-01 00:00:00,"FERRETERIA, PINTURAS",Correspondencia univoca
301129,1,1,"DISCO P/CORTE 7 ""X1/8 "" AZUL 178X3MM",100.0,2025-03-01 00:00:00,2025-03-01 00:00:00,FERRETERIA,Correspondencia univoca
301130,1,1,"DISCO P/PULIR 4 1/2 ""X1/4 "" AMAR.115X6,",100.0,2024-04-15 00:00:00,2025-12-01 00:00:00,"FERRETERIA, FILTROS",Correspondencia univoca
301144,1,1,DESARMADOR TP. RELOJERO JUEGO,100.0,2024-06-24 00:00:00,2024-06-24 00:00:00,FERRETERIA,Correspondencia univoca
301145,1,1,DESARMADORES (PLANO Y ESTRELLA) JGO 10UN,100.0,2024-04-08 00:00:00,2024-06-24 00:00:00,FERRETERIA,Correspondencia univoca
301168,1,1,"CORDON DE ORING EN VITON 5/8 """,100.0,2024-07-09 00:00:00,2024-07-09 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
301169,1,1,"CORDON DE ORING EN VITON 9/16 """,100.0,2024-07-09 00:00:00,2024-07-09 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
301184,1,1,"CODO SOLD H/N CED 80 4 "" 90°",100.0,2025-07-01 00:00:00,2025-08-01 00:00:00,FERRETERIA,Correspondencia univoca
301192,1,1,CORDON DE ORING EN CAUCHO 8MM,100.0,2024-07-09 00:00:00,2024-07-09 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
301195,1,1,"CORDON DE ORING EN VITON 3/16 """,100.0,2024-07-09 00:00:00,2024-07-09 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
301198,1,1,"CODO SOLD H/N CED 80 1 "" 90º",100.0,2025-07-01 00:00:00,2025-07-01 00:00:00,FERRETERIA,Correspondencia univoca
301202,1,1,"CODO SOLD H/N CED 80 2 1/2 "" 90º",100.0,2025-07-01 00:00:00,2025-07-01 00:00:00,FERRETERIA,Correspondencia univoca
301203,1,1,"CODO SOLD H/N CED 80 2 1/2 "" 90º",100.0,2025-08-01 00:00:00,2025-08-01 00:00:00,FERRETERIA,Correspondencia univoca
301204,1,1,"CODO SOLD H/N CED 80 2 "" 90º",100.0,2025-06-01 00:00:00,2025-08-01 00:00:00,FERRETERIA,Correspondencia univoca
301205,1,1,"CODO SOLD H/N CED 80 3 "" 90º",100.0,2025-07-01 00:00:00,2025-08-01 00:00:00,FERRETERIA,Correspondencia univoca
301213,1,1,"CODO SOLD H/N CED 40 6 "" 45º",100.0,2024-07-04 00:00:00,2024-07-04 00:00:00,FERRETERIA,Correspondencia univoca
301214,1,1,"CODO SOLD H/N CED 40 6 "" 90º",100.0,2024-07-04 00:00:00,2025-08-01 00:00:00,FERRETERIA,Correspondencia univoca
301216,1,1,"CODO SOLD H/N CED 40 10 "" 45º",100.0,2025-07-01 00:00:00,2025-07-01 00:00:00,FERRETERIA,Correspondencia univoca
301218,1,1,"CODO SOLD H/N CED 40 3 "" 45º",100.0,2024-07-04 00:00:00,2024-07-04 00:00:00,FERRETERIA,Correspondencia univoca
