Nivel,Serie,Mes,Real,Prediccion
NAVE_CATEGORIA,NAVE_004 | SERVICIOS DE MANTENIMIENTO,2025-07,6411.570000000001,10707.75
NAVE_CATEGORIA,NAVE_004 | SERVICIOS DE MANTENIMIENTO,2025-08,795.0,6411.570000000001
NAVE_CATEGORIA,NAVE_004 | SERVICIOS DE MANTENIMIENTO,2025-09,3662.0,795.0
NAVE_CATEGORIA,NAVE_004 | SERVICIOS DE MANTENIMIENTO,2025-10,1915.45,3662.0
NAVE_CATEGORIA,NAVE_004 | SERVICIOS DE MANTENIMIENTO,2025-11,1422.2,1915.45
NAVE_CATEGORIA,NAVE_004 | SERVICIOS DE MANTENIMIENTO,2025-12,2763.91,1422.2
NAVE_CATEGORIA,NAVE_005 | SERVICIOS DE MANTENIMIENTO,2025-01,6040.0,2664.05
NAVE_CATEGORIA,NAVE_005 | SERVICIOS DE MANTENIMIENTO,2025-02,1410.0,6040.0
NAVE_CATEGORIA,NAVE_005 | SERVICIOS DE MANTENIMIENTO,2025-03,7300.16,1410.0
NAVE_CATEGORIA,NAVE_005 | SERVICIOS DE MANTENIMIENTO,2025-04,7540.0,7300.16
NAVE_CATEGORIA,NAVE_005 | SERVICIOS DE MANTENIMIENTO,2025-05,2791.0,7540.0
NAVE_CATEGORIA,NAVE_005 | SERVICIOS DE MANTENIMIENTO,2025-06,3000.0,2791.0
NAVE_CATEGORIA,NAVE_005 | SERVICIOS DE MANTENIMIENTO,2025-08,471.42,3000.0
NAVE_CATEGORIA,NAVE_005 | SERVICIOS DE MANTENIMIENTO,2025-09,1575.0,471.42
NAVE_CATEGORIA,NAVE_005 | SERVICIOS DE MANTENIMIENTO,2025-10,1300.0,1575.0
NAVE_CATEGORIA,NAVE_005 | SERVICIOS DE MANTENIMIENTO,2025-11,6137.13,1300.0
NAVE_CATEGORIA,NAVE_007 | SERVICIOS DE MANTENIMIENTO,2025-01,2030.0,14872.0
NAVE_CATEGORIA,NAVE_007 | SERVICIOS DE MANTENIMIENTO,2025-02,18906.35,2030.0
NAVE_CATEGORIA,NAVE_007 | SERVICIOS DE MANTENIMIENTO,2025-03,5365.0,18906.35
NAVE_CATEGORIA,NAVE_007 | SERVICIOS DE MANTENIMIENTO,2025-04,17961.989999999998,5365.0
NAVE_CATEGORIA,NAVE_007 | SERVICIOS DE MANTENIMIENTO,2025-05,10230.74,17961.989999999998
NAVE_CATEGORIA,NAVE_007 | SERVICIOS DE MANTENIMIENTO,2025-06,15688.72,10230.74
NAVE_CATEGORIA,NAVE_007 | SERVICIOS DE MANTENIMIENTO,2025-07,8259.0,15688.72
NAVE_CATEGORIA,NAVE_007 | SERVICIOS DE MANTENIMIENTO,2025-08,6174.0,8259.0
NAVE_CATEGORIA,NAVE_007 | SERVICIOS DE MANTENIMIENTO,2025-09,21053.6,6174.0
NAVE_CATEGORIA,NAVE_008 | SERVICIOS DE MANTENIMIENTO,2025-01,18068.48,7477.39805123565
NAVE_CATEGORIA,NAVE_008 | SERVICIOS DE MANTENIMIENTO,2025-02,47548.7,15953.644701127372
NAVE_CATEGORIA,NAVE_008 | SERVICIOS DE MANTENIMIENTO,2025-03,8652.29,44701.466850593075
NAVE_CATEGORIA,NAVE_008 | SERVICIOS DE MANTENIMIENTO,2025-04,2807.0,32870.06478107562
NAVE_CATEGORIA,NAVE_008 | SERVICIOS DE MANTENIMIENTO,2025-05,17032.72,47049.394337697995
NAVE_CATEGORIA,NAVE_008 | SERVICIOS DE MANTENIMIENTO,2025-06,11510.0,-3412.0882374523135
NAVE_CATEGORIA,NAVE_008 | SERVICIOS DE MANTENIMIENTO,2025-07,115248.51,-12436.718385270648
NAVE_CATEGORIA,NAVE_008 | SERVICIOS DE MANTENIMIENTO,2025-08,65667.5,89011.51247255647
NAVE_CATEGORIA,NAVE_008 | SERVICIOS DE MANTENIMIENTO,2025-09,11029.75,80775.36493666912
NAVE_CATEGORIA,NAVE_010 | SERVICIOS DE MANTENIMIENTO,2025-01,585.0,392.4
NAVE_CATEGORIA,NAVE_010 | SERVICIOS DE MANTENIMIENTO,2025-02,630.4,585.0
NAVE_CATEGORIA,NAVE_010 | SERVICIOS DE MANTENIMIENTO,2025-03,434.78,630.4
NAVE_CATEGORIA,NAVE_010 | SERVICIOS DE MANTENIMIENTO,2025-04,7508.36,434.78
NAVE_CATEGORIA,NAVE_010 | SERVICIOS DE MANTENIMIENTO,2025-05,2642.2,7508.36
NAVE_CATEGORIA,NAVE_010 | SERVICIOS DE MANTENIMIENTO,2025-06,1010.0,2642.2
NAVE_CATEGORIA,NAVE_010 | SERVICIOS DE MANTENIMIENTO,2025-07,1830.0,1010.0
NAVE_CATEGORIA,NAVE_010 | SERVICIOS DE MANTENIMIENTO,2025-08,2786.62,1830.0
NAVE_CATEGORIA,NAVE_010 | SERVICIOS DE MANTENIMIENTO,2025-09,350.0,2786.62
NAVE_CATEGORIA,NAVE_010 | SERVICIOS DE MANTENIMIENTO,2025-10,2971.47,350.0
NAVE_CATEGORIA,NAVE_010 | SERVICIOS DE MANTENIMIENTO,2025-11,3909.1,2971.47
NAVE_CATEGORIA,NAVE_011 | SERVICIOS DE MANTENIMIENTO,2025-01,9061.35,8233.19
NAVE_CATEGORIA,NAVE_011 | SERVICIOS DE MANTENIMIENTO,2025-02,6334.5,9061.35
NAVE_CATEGORIA,NAVE_011 | SERVICIOS DE MANTENIMIENTO,2025-03,824.86,6334.5
NAVE_CATEGORIA,NAVE_011 | SERVICIOS DE MANTENIMIENTO,2025-04,7007.0,824.86
NAVE_CATEGORIA,NAVE_011 | SERVICIOS DE MANTENIMIENTO,2025-05,12573.43,7007.0
NAVE_CATEGORIA,NAVE_011 | SERVICIOS DE MANTENIMIENTO,2025-06,2425.0,12573.43
