FechaCont,ItemCode,Quantity,PrecioUnitario,SubTotal,CostoCalculado,DiferenciaCosto,ErrorAbsolutoCosto,ErrorRelativoCosto,ClasificacionDiferenciaMonetaria
2021-08-18,P005287,4.0,5.3775,21.51,21.51,0.0,0.0,0.0,Coincidencia exacta
2021-05-20,P001187,4.0,5.375,21.5,21.5,0.0,0.0,0.0,Coincidencia exacta
2021-08-04,P001369,10.0,2.15,21.5,21.5,0.0,0.0,0.0,Coincidencia exacta
2025-01-01,900152,1.0,,21.5,,,,,No evaluable
2025-04-01,900146,1.0,,21.5,,,,,No evaluable
2025-04-01,900149,1.0,,21.5,,,,,No evaluable
2025-05-01,900121,1.0,,21.5,,,,,No evaluable
2025-05-01,900121,1.0,,21.5,,,,,No evaluable
2025-07-01,900346,3.0,,21.5,,,,,No evaluable
2025-07-01,302437,1.0,,21.5,,,,,No evaluable
2025-07-01,P004244,6.0,,21.5,,,,,No evaluable
2025-12-01,P001651,1.0,,21.5,,,,,No evaluable
2025-06-01,302437,4.0,,21.49,,,,,No evaluable
2021-07-13,P000806,12.0,1.79,21.48,21.48,0.0,0.0,0.0,Coincidencia exacta
2025-04-01,306052,1.0,,21.47,,,,,No evaluable
2025-06-01,PS00006,1.0,,21.44,,,,,No evaluable
2021-05-18,P001193,24.0,0.89285,21.43,21.4284,0.0015999999999998238,0.0015999999999998238,7.466168922071039e-05,Coincidencia exacta
2025-06-01,301204,10.0,,21.43,,,,,No evaluable
2021-07-22,P001193,20.0,1.07,21.4,21.400000000000002,-3.552713678800501e-15,3.552713678800501e-15,1.660146578878739e-16,Coincidencia exacta
2024-07-08,300835,300.0,,21.39,,,,,No evaluable
2023-02-17,P000436,1.0,21.32,21.32,21.32,0.0,0.0,0.0,Coincidencia exacta
2023-02-17,P000436,1.0,21.32,21.32,21.32,0.0,0.0,0.0,Coincidencia exacta
2025-06-01,P004244,8.0,,21.3,,,,,No evaluable
2023-08-09,P006354,10.0,2.128,21.28,21.28,0.0,0.0,0.0,Coincidencia exacta
2023-07-03,P006240,2.0,10.63,21.26,21.26,0.0,0.0,0.0,Coincidencia exacta
2024-01-23,PS00006,1.0,,21.26,,,,,No evaluable
2021-12-03,P001075,1.0,21.25,21.25,21.25,0.0,0.0,0.0,Coincidencia exacta
2023-02-14,P000407,4.0,5.313,21.25,21.252,-0.0019999999999988916,0.0019999999999988916,9.411764705877137e-05,Coincidencia exacta
2023-11-22,P005746,1.0,21.25,21.25,21.25,0.0,0.0,0.0,Coincidencia exacta
2025-09-01,PS00006,1.0,,21.25,,,,,No evaluable
2024-10-08,300683,1.0,,21.24,,,,,No evaluable
2023-11-10,P003810,2.0,10.61,21.22,21.22,0.0,0.0,0.0,Coincidencia exacta
2022-04-20,P001631,10.0,2.12,21.2,21.200000000000003,-3.552713678800501e-15,3.552713678800501e-15,1.6758083390568402e-16,Coincidencia exacta
2023-06-01,P005708,1.0,21.2,21.2,21.2,0.0,0.0,0.0,Coincidencia exacta
2023-11-10,P003822,2.0,10.6,21.2,21.2,0.0,0.0,0.0,Coincidencia exacta
2025-02-01,P000807,10.0,,21.18,,,,,No evaluable
2023-07-12,P001507,5.0,4.235,21.175,21.175,0.0,0.0,0.0,Coincidencia exacta
2025-07-01,300926,7.0,,21.16,,,,,No evaluable
2021-09-20,P001059,3.0,7.05,21.15,21.15,0.0,0.0,0.0,Coincidencia exacta
2023-11-08,P000986,3.0,7.05,21.15,21.15,0.0,0.0,0.0,Coincidencia exacta
2023-11-08,P000987,3.0,7.05,21.15,21.15,0.0,0.0,0.0,Coincidencia exacta
2023-11-13,P006521,12.0,1.7625,21.15,21.15,0.0,0.0,0.0,Coincidencia exacta
2025-03-01,P000807,10.0,,21.13,,,,,No evaluable
2024-04-08,302437,120.0,,21.12,,,,,No evaluable
2022-03-10,P000627,2.0,10.55,21.1,21.1,0.0,0.0,0.0,Coincidencia exacta
2022-10-21,P000807,10.0,2.11,21.1,21.099999999999998,3.552713678800501e-15,3.552713678800501e-15,1.683750558673223e-16,Coincidencia exacta
2022-04-01,P002861,1.0,21.08,21.08,21.08,0.0,0.0,0.0,Coincidencia exacta
2025-07-01,300900,10.0,,21.06,,,,,No evaluable
2021-04-13,P000171,4.0,5.2625,21.05,21.05,0.0,0.0,0.0,Coincidencia exacta
2022-04-06,P005488,2.0,10.523,21.046,21.046,0.0,0.0,0.0,Coincidencia exacta
2021-04-05,P000982,6.0,3.504,21.024,21.024,0.0,0.0,0.0,Coincidencia exacta
2025-07-01,304342,12.0,,21.01,,,,,No evaluable
2021-01-15,P000191,6.0,3.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2021-02-02,P002201,6.0,3.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2021-02-02,P000982,6.0,3.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2021-02-22,P000191,6.0,3.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2021-03-08,P002166,1.0,21.0,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2021-03-16,P001187,6.0,3.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2021-03-16,P000661,6.0,3.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2021-04-01,P001312,4.0,5.25,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2021-04-09,P002201,6.0,3.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2021-08-04,P000168,6.0,3.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2021-08-13,P000982,6.0,3.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2021-08-18,P001368,6.0,3.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2021-09-01,P005437,2.0,10.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2021-09-03,P000928,1.0,21.0,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2021-09-10,P000191,6.0,3.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2021-10-07,P000882,3.0,7.0,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2021-10-20,P004160,6.0,3.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2021-11-22,P002463,6.0,3.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2021-11-22,P000875,3.0,7.0,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2021-12-03,P000941,1.0,21.0,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2021-12-14,P000982,6.0,3.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2022-03-17,P005061,6.0,3.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2022-04-19,P002418,30.0,0.7,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2022-04-21,P000661,6.0,3.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2022-07-15,P006842,2.0,10.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2022-11-18,P000805,12.0,1.75,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2022-12-01,P000171,2.0,10.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2023-03-23,P000982,6.0,3.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2023-04-19,P002435,6.0,3.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2023-04-19,P004593,6.0,3.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2023-05-09,P002435,6.0,3.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2023-06-02,P002201,6.0,3.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2023-07-04,P000525,6.0,3.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2023-07-21,P000661,6.0,3.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2023-09-01,P000813,12.0,1.75,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2023-10-17,P000168,6.0,3.5,21.0,21.0,0.0,0.0,0.0,Coincidencia exacta
2025-05-01,304342,12.0,,21.0,,,,,No evaluable
2025-06-01,P000762,30.0,,21.0,,,,,No evaluable
2025-12-01,P000986,2.0,,21.0,,,,,No evaluable
2022-09-19,P006170,2.0,10.48,20.96,20.96,0.0,0.0,0.0,Coincidencia exacta
2022-09-19,P003126,2.0,10.48,20.96,20.96,0.0,0.0,0.0,Coincidencia exacta
2022-04-12,P001110,8.0,2.618,20.944,20.944,0.0,0.0,0.0,Coincidencia exacta
2023-07-06,P006261,48.0,0.436269,20.94091,20.940912,-2.0000000020559128e-06,2.0000000020559128e-06,9.550683337333062e-08,Coincidencia exacta
2023-10-27,P006541,2.0,10.47,20.94,20.94,0.0,0.0,0.0,Coincidencia exacta
2024-06-25,302848,1.0,,20.94,,,,,No evaluable
2024-10-18,302848,2.0,,20.94,,,,,No evaluable
2023-06-13,P000613,12.0,1.7402,20.8824,20.8824,0.0,0.0,0.0,Coincidencia exacta
2023-01-25,P000875,3.0,6.96,20.88,20.88,0.0,0.0,0.0,Coincidencia exacta
2023-02-07,P000875,3.0,6.96,20.88,20.88,0.0,0.0,0.0,Coincidencia exacta
2025-10-01,P000715,6.0,,20.87,,,,,No evaluable
2022-03-10,P001107,2.0,10.41,20.82,20.82,0.0,0.0,0.0,Coincidencia exacta
2021-03-09,P005408,1.0,20.8,20.8,20.8,0.0,0.0,0.0,Coincidencia exacta
2021-04-05,P000133,40.0,0.52,20.8,20.8,0.0,0.0,0.0,Coincidencia exacta
2023-10-10,P006493,2.0,10.4,20.8,20.8,0.0,0.0,0.0,Coincidencia exacta
2025-05-01,304162,2.0,,20.8,,,,,No evaluable
2025-08-01,PS00006,1.0,,20.8,,,,,No evaluable
2024-04-09,304136,20.0,,20.8,,,,,No evaluable
2024-04-09,304142,20.0,,20.8,,,,,No evaluable
2021-04-01,P001664,6.0,3.465867,20.795202,20.795202,0.0,0.0,0.0,Coincidencia exacta
2021-07-13,P001119,3.0,6.93,20.79,20.79,0.0,0.0,0.0,Coincidencia exacta
2021-09-21,P001119,3.0,6.93,20.79,20.79,0.0,0.0,0.0,Coincidencia exacta
2023-12-19,P008499,1.0,20.76,20.76,20.76,0.0,0.0,0.0,Coincidencia exacta
2025-08-01,900346,1.0,,20.75,,,,,No evaluable
2025-09-01,900347,1.0,,20.75,,,,,No evaluable
2024-12-27,900347,4.0,,20.75,,,,,No evaluable
2024-11-19,900344,3.0,,20.75,,,,,No evaluable
2023-07-21,P006284,2.0,10.365,20.73,20.73,0.0,0.0,0.0,Coincidencia exacta
2025-09-01,304117,3.0,,20.7,,,,,No evaluable
2025-09-01,304117,3.0,,20.7,,,,,No evaluable
2022-04-13,P001192,12.0,1.72,20.64,20.64,0.0,0.0,0.0,Coincidencia exacta
2022-04-13,P001193,12.0,1.72,20.64,20.64,0.0,0.0,0.0,Coincidencia exacta
2025-08-01,305856,4.0,,20.64,,,,,No evaluable
2025-08-01,305856,4.0,,20.64,,,,,No evaluable
2022-04-12,P001111,8.0,2.5795,20.636,20.636,0.0,0.0,0.0,Coincidencia exacta
2023-05-19,P002589,4.0,5.1575,20.63,20.63,0.0,0.0,0.0,Coincidencia exacta
2021-02-01,P005551,4.0,5.15,20.6,20.6,0.0,0.0,0.0,Coincidencia exacta
2023-06-01,P007896,4.0,5.15,20.6,20.6,0.0,0.0,0.0,Coincidencia exacta
2023-10-09,P003802,4.0,5.15,20.6,20.6,0.0,0.0,0.0,Coincidencia exacta
2022-11-10,P000407,5.0,4.11,20.55,20.55,0.0,0.0,0.0,Coincidencia exacta
2025-07-01,300928,4.0,,20.55,,,,,No evaluable
2021-10-20,P000764,50.0,0.41,20.5,20.5,0.0,0.0,0.0,Coincidencia exacta
2025-12-01,P001008,4.0,,20.46,,,,,No evaluable
2022-04-08,P001579,2.0,10.224,20.448,20.448,0.0,0.0,0.0,Coincidencia exacta
2021-08-17,P000919,2.0,10.203,20.41,20.406,0.004000000000001336,0.004000000000001336,0.00019598236158752257,Coincidencia exacta
2021-01-11,P000295,6.0,3.4,20.4,20.4,0.0,0.0,0.0,Coincidencia exacta
2021-02-17,P000237,2.0,10.2,20.4,20.4,0.0,0.0,0.0,Coincidencia exacta
2021-04-08,P000928,1.0,20.4,20.4,20.4,0.0,0.0,0.0,Coincidencia exacta
