FechaCont,ItemCode,Quantity,PrecioUnitarioSinDescuento,DescuentoUnitario,PrecioUnitario,SubTotal,Tipo,ParteTecnica,Tipo_norm,ParteTecnica_norm,ProveedorAnonimo,NaveAnonima
2023-02-10,PS00006,1.0,29000.0,29000.0,29000.0,29000.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_010,NAVE_007
2023-06-29,PS00006,1.0,0.0,0.0,29000.0,29000.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_010,NAVE_002
2023-08-22,PS00006,1.0,29000.0,29000.0,29000.0,29000.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_010,NAVE_001
2025-07-01,PS00006,1.0,,,,28908.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_028,NAVE_008
2022-04-21,PS00009,1.0,28664.0,28664.0,28664.0,28664.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_029,NAVE_007
2023-09-22,PS00006,1.0,0.0,0.0,28500.0,28500.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_030,NAVE_002
2024-09-03,PS00006,1.0,,,,28000.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_031,NAVE_008
2023-12-08,PS00006,1.0,27725.45,27725.45,27725.45,27725.45,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_009,NAVE_004
2024-12-10,PS00006,1.0,,,,27158.86,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_013,NAVE_002
2025-02-01,PS00006,1.0,,,,26586.4,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_019,NAVE_002
